Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
male,high school,swimming,urban,fall,0,1,0,245,4,4609,1,54836,32
male,high school,sunbathing,urban,fall,0,1,0,237,18,1848,7,44619,65
female,high school,swimming,rural,spring,1,0,0,208,136,4364,7,73038,25
non-binary,bachelor,hiking,urban,summer,0,0,0,223,167,2743,8,30220,23
non-binary,master,swimming,urban,summer,0,0,0,258,54,2131,9,31393,45
female,doctorate,sunbathing,suburban,summer,0,0,0,292,2,944,0,116850,21
male,bachelor,swimming,urban,fall,1,0,0,226,276,4586,9,46729,47
male,bachelor,swimming,rural,spring,1,0,0,246,282,616,2,65668,60
female,bachelor,hiking,rural,fall,0,1,0,132,122,4243,7,39282,34
non-binary,high school,hiking,suburban,spring,0,1,0,255,30,706,7,113876,51
non-binary,high school,skiing,suburban,spring,0,1,0,249,2,1371,8,46420,23
non-binary,high school,skiing,rural,spring,1,1,1,149,205,3282,4,101344,53
non-binary,doctorate,skiing,rural,summer,1,1,1,85,259,4387,5,31163,52
male,high school,hiking,suburban,spring,1,0,1,182,259,1276,2,100333,56
non-binary,master,skiing,rural,spring,1,1,0,249,45,2621,6,106678,56
female,high school,sunbathing,suburban,summer,1,0,0,229,261,4163,2,83879,33
non-binary,doctorate,skiing,urban,summer,1,1,0,281,101,4355,8,49730,19
male,doctorate,skiing,suburban,winter,1,1,1,3,105,1886,5,58366,25
non-binary,doctorate,hiking,suburban,summer,1,0,0,90,71,2308,3,68641,32
non-binary,master,skiing,suburban,summer,0,1,1,109,293,3348,9,26235,44
female,bachelor,swimming,suburban,fall,0,0,0,232,64,3419,8,81989,33
non-binary,doctorate,swimming,urban,fall,0,0,0,76,28,1043,4,24131,18
non-binary,doctorate,swimming,suburban,winter,0,0,0,58,229,2411,1,111571,27
female,bachelor,sunbathing,rural,fall,0,0,0,241,27,4162,3,99328,24
female,doctorate,skiing,rural,winter,1,0,1,232,292,1237,8,21404,65
female,doctorate,skiing,urban,spring,0,1,1,111,249,2179,9,62679,27
female,bachelor,hiking,rural,spring,1,1,1,128,187,3710,1,30769,29
male,doctorate,sunbathing,urban,fall,1,1,0,228,275,2516,7,30661,34
non-binary,doctorate,sunbathing,urban,winter,1,0,0,171,275,2744,2,85673,62
non-binary,master,hiking,urban,spring,0,1,1,7,259,4790,6,53561,29
male,high school,skiing,suburban,winter,0,0,1,181,207,1603,3,31903,32
female,bachelor,skiing,urban,winter,0,1,1,2,17,3396,9,73454,63
non-binary,master,hiking,rural,spring,0,1,1,90,157,2959,2,119642,68
female,doctorate,sunbathing,rural,fall,0,1,0,155,156,1997,3,68991,49
female,master,hiking,urban,winter,0,1,1,9,89,1847,9,58656,49
male,high school,skiing,urban,spring,0,0,0,216,150,3448,7,98734,68
male,doctorate,hiking,rural,summer,1,0,0,258,71,2205,1,52345,43
female,doctorate,sunbathing,suburban,fall,0,1,0,18,22,3196,3,60929,31
non-binary,high school,hiking,rural,fall,0,0,0,80,24,4648,4,77461,67
female,master,swimming,urban,winter,1,1,0,79,42,1250,4,96099,43
non-binary,bachelor,swimming,urban,summer,0,1,0,164,129,4448,5,59130,22
female,bachelor,skiing,urban,summer,1,0,1,110,251,3251,6,91591,69
female,doctorate,swimming,rural,winter,0,0,0,88,264,3137,2,65318,55
non-binary,master,skiing,rural,summer,1,1,1,95,287,757,9,86723,67
male,doctorate,sunbathing,rural,fall,1,1,0,138,141,3132,1,79116,63
male,bachelor,skiing,rural,fall,0,0,1,150,253,4198,2,61587,21
female,master,hiking,rural,spring,1,1,1,151,258,913,7,60156,45
non-binary,doctorate,hiking,suburban,spring,0,0,1,51,274,2896,1,106319,18
male,doctorate,hiking,rural,fall,0,1,1,92,292,1956,8,74164,30
non-binary,high school,swimming,suburban,fall,0,0,0,87,270,4325,0,30043,60
male,high school,sunbathing,urban,winter,0,1,0,101,106,2681,4,117798,20
non-binary,bachelor,sunbathing,suburban,winter,1,0,0,179,239,4076,9,112398,66
female,doctorate,swimming,urban,fall,1,0,0,254,188,3021,6,33787,67
non-binary,master,skiing,urban,spring,1,1,1,112,144,652,6,110812,42
female,master,swimming,suburban,spring,1,0,0,173,83,4516,8,84008,59
male,bachelor,skiing,urban,summer,1,0,0,230,85,3327,2,57556,33
non-binary,high school,sunbathing,rural,fall,1,1,0,94,171,2784,8,116093,38
male,master,skiing,suburban,winter,0,0,1,22,279,715,1,54034,30
male,master,hiking,rural,winter,0,0,0,118,33,2195,1,40191,69
female,bachelor,swimming,rural,summer,1,1,0,53,124,4455,8,89324,61
non-binary,high school,sunbathing,urban,summer,0,1,0,232,98,3001,9,35533,53
female,high school,swimming,suburban,fall,1,1,0,204,269,2177,7,35297,25
non-binary,master,hiking,rural,summer,1,1,1,36,146,3663,5,31347,61
male,high school,swimming,urban,summer,0,1,0,165,62,1055,6,101004,36
male,doctorate,skiing,rural,winter,1,0,0,163,94,2605,7,103746,64
non-binary,bachelor,sunbathing,rural,fall,1,0,0,188,50,4190,4,92498,33
male,bachelor,sunbathing,suburban,summer,0,1,0,220,122,3279,9,86580,29
male,high school,hiking,urban,fall,0,0,0,287,109,2416,3,25660,37
female,bachelor,skiing,urban,summer,1,1,1,165,185,2291,3,80146,35
male,doctorate,hiking,urban,fall,0,0,1,61,80,4607,1,86816,29
male,doctorate,hiking,suburban,fall,0,0,1,27,213,3062,5,91828,65
male,high school,swimming,rural,spring,0,0,0,203,3,4777,0,54926,42
non-binary,high school,swimming,urban,fall,1,0,0,192,82,2159,7,80138,69
male,master,sunbathing,suburban,summer,0,0,0,148,62,3596,7,116568,28
female,master,hiking,rural,fall,0,1,0,288,123,3103,4,48249,39
female,doctorate,skiing,suburban,spring,0,1,1,50,189,2109,9,61131,69
female,bachelor,hiking,suburban,summer,1,0,1,56,146,2676,6,119683,63
female,master,sunbathing,urban,fall,0,1,0,241,97,3816,8,63490,51
male,master,sunbathing,urban,winter,0,0,0,296,80,4968,6,64460,30
female,master,sunbathing,suburban,summer,0,1,0,213,99,2647,2,80372,63
non-binary,doctorate,skiing,suburban,spring,1,0,0,78,14,2759,9,92765,55
non-binary,high school,sunbathing,suburban,spring,1,0,0,158,172,3392,7,27574,29
male,master,sunbathing,rural,winter,0,1,0,230,34,2200,1,29089,56
non-binary,doctorate,swimming,suburban,fall,0,0,0,22,70,2590,1,30030,53
non-binary,master,swimming,rural,fall,1,0,0,129,36,553,9,36706,45
male,bachelor,sunbathing,urban,summer,0,0,0,141,278,2316,2,115496,44
male,high school,hiking,suburban,winter,1,0,0,158,51,2964,4,23127,56
female,doctorate,swimming,urban,summer,1,0,0,249,70,2645,5,59464,30
female,high school,swimming,suburban,winter,1,1,0,68,143,4303,0,23413,60
male,bachelor,hiking,suburban,summer,1,1,1,171,269,581,9,88627,57
non-binary,master,swimming,rural,fall,0,0,0,6,194,3037,1,52827,44
male,bachelor,sunbathing,rural,spring,0,0,0,79,91,2125,5,39235,68
female,doctorate,skiing,urban,winter,0,1,0,177,82,2010,5,24419,48
male,bachelor,skiing,urban,winter,0,1,0,156,81,1738,2,46529,19
male,master,swimming,urban,summer,1,1,0,182,177,2823,2,95470,35
non-binary,master,hiking,rural,spring,0,0,0,34,2,3302,6,114350,43
male,bachelor,hiking,suburban,fall,1,0,1,34,208,2900,9,45535,59
female,bachelor,skiing,suburban,spring,0,0,0,194,55,1245,5,105456,48
male,high school,skiing,rural,spring,1,1,0,168,41,832,9,103241,55
non-binary,doctorate,skiing,urban,summer,0,1,0,252,138,3301,8,55741,39
male,master,sunbathing,suburban,fall,1,0,0,216,84,4844,3,31276,53
non-binary,bachelor,hiking,urban,summer,1,0,1,153,268,3519,9,94309,36
male,bachelor,swimming,suburban,fall,1,0,0,239,260,3263,7,53566,31
non-binary,bachelor,sunbathing,suburban,winter,0,1,0,297,250,1060,4,40371,31
male,high school,skiing,urban,spring,0,0,1,167,196,3721,5,64431,67
male,master,swimming,rural,winter,1,1,0,146,185,3998,2,76595,46
male,high school,sunbathing,urban,spring,0,1,0,246,45,4901,7,58721,34
male,doctorate,sunbathing,urban,fall,0,1,0,8,199,3524,9,99650,67
male,master,sunbathing,suburban,winter,1,0,0,268,63,4910,1,37597,67
female,high school,skiing,rural,spring,1,1,0,285,206,3229,6,102386,54
female,bachelor,sunbathing,urban,summer,1,1,0,227,42,4093,8,78620,26
male,bachelor,sunbathing,suburban,spring,0,0,0,282,133,880,5,43718,18
non-binary,master,swimming,suburban,spring,1,1,0,210,182,4802,1,65666,21
non-binary,doctorate,swimming,urban,fall,0,0,0,267,74,1593,5,67860,24
female,doctorate,sunbathing,suburban,summer,1,0,0,135,268,4820,2,101667,28
female,bachelor,skiing,urban,spring,0,1,1,97,295,4824,9,77120,31
female,doctorate,swimming,urban,spring,0,1,0,220,279,4510,8,54501,59
non-binary,master,sunbathing,rural,winter,0,1,0,161,211,1397,5,84372,36
female,doctorate,hiking,suburban,spring,0,1,1,122,156,3698,2,91670,57
female,bachelor,hiking,suburban,winter,0,1,1,94,190,4389,6,114583,20
female,bachelor,swimming,suburban,spring,1,0,0,119,236,831,6,112063,25
male,high school,sunbathing,urban,fall,1,0,0,215,120,4376,2,40162,46
male,master,hiking,rural,winter,0,0,0,284,266,2477,3,30291,67
female,high school,hiking,suburban,winter,1,0,1,38,82,1084,7,84276,54
non-binary,master,swimming,rural,summer,0,0,0,11,175,1323,6,80263,69
male,doctorate,sunbathing,suburban,fall,1,0,0,167,179,1594,2,78137,60
female,bachelor,skiing,suburban,spring,0,0,0,192,189,2314,3,25678,26
male,doctorate,swimming,urban,spring,0,0,0,160,295,934,4,103334,36
non-binary,high school,sunbathing,suburban,winter,1,0,0,55,137,645,0,102847,29
female,high school,hiking,urban,summer,1,0,0,176,95,536,4,82564,44
female,bachelor,swimming,urban,spring,0,0,0,96,153,1143,7,63898,54
male,master,hiking,rural,summer,1,0,0,206,198,2194,0,83310,65
female,doctorate,sunbathing,suburban,winter,1,0,0,285,278,3291,8,105251,42
male,master,hiking,urban,summer,1,1,0,176,127,3999,9,29936,62
non-binary,doctorate,swimming,suburban,spring,0,1,0,286,168,784,4,46360,55
male,master,sunbathing,urban,spring,1,1,0,38,161,2713,9,80396,65
female,doctorate,skiing,urban,winter,1,1,0,180,65,1297,6,38769,67
non-binary,doctorate,swimming,urban,summer,0,0,0,0,24,1072,9,48009,34
non-binary,master,sunbathing,rural,spring,0,1,0,180,136,3999,4,62868,61
non-binary,high school,skiing,urban,summer,0,0,1,1,243,1201,5,60819,50
male,master,skiing,suburban,winter,1,1,1,209,299,4638,7,116000,56
non-binary,high school,sunbathing,suburban,winter,1,1,0,98,256,534,9,46256,31
female,doctorate,sunbathing,rural,fall,1,0,0,186,229,925,7,53439,45
non-binary,master,sunbathing,urban,summer,0,1,0,46,236,3616,8,107335,35
non-binary,doctorate,skiing,suburban,fall,1,0,0,162,10,4477,3,109456,50
male,bachelor,sunbathing,urban,fall,0,0,0,187,285,4086,6,77332,69
male,doctorate,skiing,urban,winter,1,0,0,263,8,539,9,33993,59
female,high school,swimming,rural,fall,1,0,0,249,5,2004,8,93886,32
female,high school,skiing,urban,fall,0,0,0,141,7,4457,1,20410,28
male,master,swimming,rural,fall,1,1,0,100,288,4053,6,80596,53
non-binary,doctorate,hiking,suburban,fall,0,0,1,72,110,3140,7,43416,32
male,high school,swimming,suburban,spring,0,0,0,203,45,2158,6,45936,65
male,high school,skiing,rural,fall,1,1,1,152,205,4315,3,57341,47
male,doctorate,hiking,suburban,winter,0,0,0,186,0,3805,1,23814,32
female,doctorate,sunbathing,rural,spring,1,1,0,39,73,1680,2,65701,66
female,high school,sunbathing,urban,fall,1,0,0,212,136,3553,4,97240,40
female,high school,sunbathing,urban,fall,0,1,0,89,232,1443,7,119018,60
female,master,skiing,suburban,fall,1,0,1,165,188,1610,4,55717,67
non-binary,doctorate,hiking,urban,fall,0,0,0,268,195,1147,6,55037,65
female,doctorate,swimming,rural,spring,0,1,0,224,9,2480,6,20081,32
female,bachelor,sunbathing,rural,summer,1,0,0,226,97,4046,9,53576,46
non-binary,bachelor,swimming,suburban,summer,1,0,0,134,197,2684,0,24483,28
non-binary,doctorate,swimming,rural,fall,1,0,0,276,200,1162,1,70655,62
male,master,hiking,suburban,spring,0,0,0,57,34,4869,7,98344,35
non-binary,high school,swimming,rural,summer,1,0,0,242,286,4542,7,28237,57
non-binary,high school,hiking,rural,fall,1,1,0,178,16,3808,1,57338,48
female,doctorate,swimming,suburban,winter,1,0,0,1,91,3827,5,89300,26
female,master,hiking,suburban,winter,0,0,0,265,211,1964,4,29400,39
female,doctorate,skiing,urban,summer,1,0,0,134,132,1291,3,112131,28
female,master,swimming,urban,winter,1,0,0,179,63,2246,6,73117,34
non-binary,doctorate,sunbathing,rural,winter,0,1,0,112,61,2630,8,77967,50
female,doctorate,sunbathing,urban,spring,0,0,0,210,9,2385,4,117927,28
female,master,sunbathing,rural,summer,0,0,0,260,58,4617,1,112173,56
male,high school,swimming,urban,summer,0,1,0,195,36,3100,7,93689,25
non-binary,master,hiking,rural,summer,1,0,1,120,220,870,5,20356,68
non-binary,bachelor,sunbathing,suburban,winter,1,1,0,195,276,1955,9,102232,21
non-binary,master,sunbathing,suburban,winter,1,0,0,154,188,3749,0,90172,53
male,doctorate,swimming,suburban,summer,0,0,0,141,193,3930,7,63479,36
non-binary,master,hiking,rural,summer,1,1,0,199,186,3102,5,76206,41
non-binary,master,sunbathing,rural,fall,0,1,0,34,160,2804,2,64388,58
female,doctorate,hiking,urban,summer,1,1,0,168,23,3726,0,27015,66
non-binary,high school,hiking,urban,summer,1,1,1,19,96,3164,1,36862,35
female,high school,sunbathing,rural,summer,0,1,0,244,288,2385,4,44330,50
male,high school,skiing,suburban,fall,1,0,0,281,173,3771,0,58268,63
female,doctorate,hiking,suburban,winter,1,1,0,254,248,4495,4,108345,53
male,bachelor,swimming,urban,spring,0,0,0,57,112,2352,4,111328,27
male,master,skiing,suburban,summer,0,0,0,273,265,4172,9,26205,31
male,master,skiing,suburban,fall,1,1,0,193,115,829,1,28852,24
female,doctorate,skiing,suburban,fall,0,1,0,93,13,3400,7,79489,29
male,bachelor,skiing,rural,fall,0,0,1,231,289,2070,4,90000,39
female,bachelor,hiking,rural,fall,1,1,0,266,143,3696,1,109525,44
female,master,skiing,urban,spring,1,0,0,240,125,968,2,32550,65
female,bachelor,skiing,suburban,spring,0,0,1,41,95,2977,1,100394,54
male,high school,skiing,suburban,fall,0,1,0,196,82,3596,6,80894,28
female,doctorate,skiing,rural,spring,1,0,0,82,51,1974,0,118137,53
female,high school,hiking,rural,fall,1,1,0,275,227,3086,1,66870,30
male,doctorate,hiking,rural,winter,1,0,0,163,160,1380,6,96751,49
female,doctorate,hiking,suburban,winter,0,1,0,145,69,3655,1,92633,25
male,master,hiking,suburban,winter,0,0,0,247,127,573,1,104087,24
male,master,skiing,rural,winter,1,0,0,243,149,4073,7,77965,60
male,doctorate,swimming,rural,spring,1,1,0,6,229,3348,3,22581,60
female,high school,skiing,suburban,winter,1,0,0,173,103,1125,8,85494,34
female,master,hiking,rural,spring,0,0,1,20,201,1898,2,30342,39
non-binary,bachelor,skiing,rural,winter,0,0,0,233,82,4746,0,81452,63
non-binary,doctorate,hiking,rural,summer,0,1,1,217,244,4065,5,73580,51
non-binary,master,hiking,urban,summer,1,0,1,33,171,2319,8,64316,37
male,bachelor,sunbathing,urban,fall,0,1,0,47,163,1394,5,86476,25
non-binary,high school,sunbathing,urban,spring,1,1,0,142,52,2220,8,66075,39
female,doctorate,swimming,urban,fall,1,1,0,215,234,4417,4,84645,44
male,bachelor,hiking,suburban,summer,1,1,0,88,68,2131,0,32832,51
male,doctorate,swimming,rural,winter,0,0,0,17,125,1642,7,53052,38
female,high school,swimming,rural,fall,0,1,0,196,133,2423,3,75122,32
non-binary,bachelor,swimming,urban,winter,0,0,0,130,147,541,1,79284,22
non-binary,bachelor,swimming,urban,winter,0,0,0,183,21,2870,1,89304,55
female,master,skiing,urban,summer,1,1,1,40,187,2917,7,61232,34
female,bachelor,skiing,rural,winter,1,1,1,12,113,1388,6,72833,25
non-binary,doctorate,sunbathing,urban,summer,1,1,0,158,222,1613,5,60402,36
female,high school,sunbathing,suburban,summer,0,0,0,4,78,1847,6,77148,22
non-binary,master,swimming,suburban,winter,0,0,0,12,270,3133,6,40298,40
female,high school,skiing,rural,winter,1,0,1,32,178,4032,3,57947,36
non-binary,doctorate,skiing,urban,fall,1,1,1,128,149,1394,4,49347,31
female,bachelor,sunbathing,urban,fall,0,0,0,297,217,3864,1,70549,27
male,master,swimming,urban,summer,0,0,0,280,150,4396,2,79030,48
male,master,swimming,urban,fall,0,1,0,171,114,4501,5,107806,30
male,doctorate,sunbathing,suburban,winter,1,1,0,245,150,1174,2,100214,39
female,high school,hiking,rural,winter,0,1,1,265,271,3113,6,112130,54
non-binary,master,skiing,rural,summer,1,0,0,194,8,1619,2,97200,56
non-binary,master,sunbathing,suburban,summer,0,0,0,169,137,4462,8,50988,27
non-binary,bachelor,hiking,suburban,summer,1,1,0,280,54,2209,4,48383,48
male,doctorate,sunbathing,urban,summer,1,1,0,195,212,4220,0,25381,60
male,master,sunbathing,urban,fall,1,0,0,54,77,2040,3,34526,52
non-binary,high school,swimming,urban,fall,0,0,0,12,101,3778,1,94153,30
female,master,sunbathing,urban,summer,1,0,0,60,286,1941,8,72719,47
female,doctorate,hiking,rural,winter,1,1,0,163,24,4463,9,99530,51
non-binary,doctorate,skiing,suburban,summer,1,1,0,276,8,1120,2,24760,53
non-binary,bachelor,swimming,suburban,winter,1,0,0,115,247,1273,4,72146,52
female,master,sunbathing,urban,winter,0,1,0,121,26,2194,1,36951,64
non-binary,high school,hiking,suburban,fall,1,1,0,58,13,2162,9,77022,21
female,bachelor,skiing,rural,fall,1,0,0,104,63,4272,8,102958,21
female,master,swimming,suburban,winter,1,1,0,105,99,2104,5,77790,64
male,doctorate,skiing,rural,summer,1,1,0,277,53,3253,8,97101,23
male,doctorate,skiing,rural,summer,0,1,1,32,245,3004,3,105756,45
male,bachelor,skiing,rural,summer,0,1,0,283,279,1670,3,117809,47
non-binary,high school,skiing,suburban,fall,0,0,0,107,91,4715,3,30761,44
female,bachelor,sunbathing,suburban,summer,1,1,0,161,17,4529,3,37028,22
non-binary,bachelor,swimming,rural,fall,1,0,0,71,223,3925,1,24517,61
non-binary,doctorate,hiking,rural,winter,1,0,0,235,19,1919,4,111700,56
non-binary,bachelor,swimming,rural,fall,1,1,0,15,270,1479,0,119096,52
female,bachelor,hiking,rural,fall,1,1,0,285,188,2297,1,74826,56
male,doctorate,swimming,suburban,summer,1,0,0,196,5,760,4,40636,61
female,high school,hiking,suburban,winter,0,0,1,88,217,1845,8,61385,32
female,bachelor,hiking,suburban,fall,1,1,1,42,64,4292,2,23041,36
non-binary,high school,swimming,urban,winter,0,0,0,247,115,2491,6,40078,47
non-binary,bachelor,skiing,suburban,summer,1,1,0,235,84,2425,8,110554,55
male,doctorate,skiing,suburban,winter,1,0,1,3,84,3829,7,31445,49
female,master,skiing,urban,summer,1,0,1,260,271,3946,9,100555,57
male,master,swimming,rural,spring,1,0,0,127,44,3539,2,34645,46
non-binary,master,swimming,urban,spring,1,0,0,288,273,2642,3,52694,23
non-binary,high school,skiing,suburban,spring,0,1,1,112,203,830,0,48434,43
male,bachelor,skiing,suburban,spring,0,0,0,261,133,4197,3,87043,44
male,doctorate,hiking,urban,fall,1,1,1,32,176,4540,1,95516,52
female,high school,skiing,rural,spring,1,1,1,202,251,3619,1,85023,45
male,high school,hiking,suburban,summer,1,0,0,281,83,3839,2,108252,22
male,bachelor,swimming,urban,winter,1,1,0,12,193,1437,2,63733,58
female,master,skiing,rural,fall,0,0,1,30,74,1923,3,21664,65
non-binary,master,swimming,urban,winter,1,1,0,117,201,882,0,118560,33
female,doctorate,skiing,rural,summer,1,1,0,261,143,2067,7,114487,58
non-binary,master,hiking,suburban,summer,0,0,1,223,245,2033,3,105836,35
non-binary,master,swimming,urban,spring,0,0,0,209,14,3557,5,79120,30
male,doctorate,hiking,urban,fall,0,1,1,0,95,1924,2,51024,60
male,bachelor,sunbathing,urban,summer,0,0,0,165,13,734,6,25721,42
male,doctorate,hiking,suburban,winter,0,0,1,19,90,4236,1,86832,27
male,bachelor,swimming,urban,spring,0,0,0,209,139,1448,2,92984,46
male,master,skiing,urban,summer,1,0,0,93,50,3995,3,70238,27
non-binary,high school,swimming,suburban,winter,1,1,0,208,143,2050,2,40481,23
female,bachelor,swimming,rural,winter,1,0,0,3,104,1522,0,42005,33
male,high school,hiking,rural,fall,1,0,1,8,122,557,5,41866,42
non-binary,doctorate,hiking,rural,fall,0,1,1,104,262,1878,2,25325,61
male,bachelor,swimming,rural,fall,0,1,0,143,0,4388,0,33900,21
female,bachelor,skiing,rural,summer,1,1,0,216,134,3783,7,84676,54
non-binary,master,skiing,rural,fall,0,0,0,288,191,4931,3,106772,51
female,bachelor,hiking,suburban,spring,0,1,0,128,49,1189,4,36458,36
male,master,hiking,rural,spring,1,0,1,78,248,1814,4,77914,50
non-binary,high school,skiing,suburban,winter,0,0,0,83,37,2275,8,99532,21
female,high school,skiing,suburban,winter,0,1,0,275,68,3471,2,117711,61
male,high school,swimming,urban,summer,0,1,0,215,172,1182,2,104040,51
male,bachelor,sunbathing,rural,fall,1,1,0,231,65,1890,4,97027,29
non-binary,master,sunbathing,suburban,spring,0,1,0,78,298,3671,8,88629,48
male,bachelor,hiking,urban,spring,1,1,0,109,36,2582,4,23907,33
female,bachelor,hiking,rural,summer,0,1,1,204,287,4610,8,68357,19
male,bachelor,hiking,urban,winter,1,0,1,175,242,4039,2,112531,66
female,doctorate,sunbathing,suburban,fall,1,1,0,204,226,2710,7,113672,19
female,master,sunbathing,suburban,winter,1,0,0,13,50,2551,8,115936,53
female,master,skiing,suburban,summer,1,1,1,139,167,1706,7,68310,23
female,doctorate,hiking,suburban,summer,0,0,1,165,207,2990,8,107698,40
non-binary,bachelor,swimming,rural,spring,0,1,0,199,192,735,3,47199,56
female,high school,swimming,rural,fall,1,1,0,269,22,3565,5,83496,64
non-binary,master,sunbathing,rural,fall,1,0,0,238,66,2987,7,81643,69
non-binary,high school,skiing,suburban,winter,0,0,0,234,51,3631,0,68038,61
non-binary,doctorate,sunbathing,urban,winter,0,0,0,257,235,3127,8,58570,54
male,bachelor,hiking,rural,winter,0,0,0,101,68,887,9,60254,63
female,bachelor,sunbathing,urban,summer,1,1,0,76,106,2630,4,41423,33
male,high school,sunbathing,urban,summer,1,0,0,174,17,3311,7,106928,60
female,doctorate,swimming,rural,fall,0,1,0,129,149,2668,2,106735,61
non-binary,high school,skiing,suburban,winter,1,1,1,31,190,3563,7,118198,36
male,bachelor,sunbathing,suburban,fall,0,1,0,62,176,3092,9,40330,66
male,high school,skiing,suburban,summer,1,1,0,55,19,2990,0,74055,41
non-binary,doctorate,sunbathing,rural,winter,0,0,0,197,284,3782,7,93063,44
non-binary,doctorate,swimming,rural,spring,1,1,0,247,49,1283,0,107254,24
non-binary,bachelor,swimming,urban,fall,0,1,0,264,266,912,9,53074,47
male,bachelor,skiing,rural,summer,1,1,0,281,189,4350,2,35058,58
non-binary,bachelor,swimming,rural,fall,1,0,0,13,203,4759,5,49489,31
male,master,sunbathing,suburban,winter,0,0,0,181,260,4150,7,101375,69
female,master,hiking,urban,fall,1,1,0,81,69,851,8,53472,61
non-binary,high school,sunbathing,rural,winter,1,1,0,196,290,3165,2,32719,32
male,bachelor,sunbathing,urban,spring,0,0,0,241,57,1817,7,112695,29
non-binary,bachelor,swimming,rural,summer,0,0,0,161,267,1079,8,30940,46
non-binary,high school,sunbathing,suburban,winter,1,1,0,95,212,2078,8,81493,40
male,master,swimming,urban,summer,1,1,0,51,6,2080,0,93780,30
male,doctorate,swimming,rural,fall,1,1,0,216,92,4051,6,102224,26
male,high school,skiing,rural,fall,0,1,0,225,129,1636,7,78228,41
non-binary,doctorate,sunbathing,rural,winter,0,0,0,233,13,3018,9,49529,56
female,doctorate,sunbathing,urban,summer,0,1,0,47,165,857,7,32455,47
female,master,hiking,suburban,summer,0,1,0,288,108,3218,3,112030,18
non-binary,doctorate,skiing,suburban,fall,0,0,1,52,157,2096,9,110057,27
non-binary,master,hiking,rural,winter,0,1,0,235,51,4104,7,100837,55
male,high school,skiing,suburban,fall,1,1,0,209,138,1420,3,27036,64
female,high school,sunbathing,suburban,winter,0,0,0,93,180,4588,9,82353,32
female,master,skiing,rural,fall,0,1,0,218,125,3057,0,110455,26
female,doctorate,hiking,rural,spring,1,1,1,8,157,3110,1,72683,30
male,bachelor,hiking,suburban,fall,1,1,0,24,22,4888,0,22711,40
female,doctorate,skiing,urban,spring,0,1,0,100,69,1559,5,70860,50
male,high school,sunbathing,rural,fall,1,0,0,11,257,3186,0,114217,26
non-binary,doctorate,skiing,suburban,winter,0,1,0,166,70,2839,8,111235,20
male,doctorate,hiking,rural,fall,1,0,0,267,212,2960,5,40998,47
non-binary,bachelor,hiking,rural,winter,0,0,1,94,244,4897,2,55634,26
female,bachelor,skiing,rural,winter,0,0,1,234,238,2561,0,99452,69
non-binary,doctorate,hiking,urban,summer,1,0,1,51,79,865,7,49465,42
non-binary,doctorate,swimming,urban,summer,0,1,0,103,186,2788,3,39945,64
non-binary,doctorate,skiing,urban,summer,0,1,0,79,63,1729,6,76034,41
male,doctorate,skiing,rural,winter,1,1,1,51,261,1156,5,57023,49
male,high school,skiing,urban,winter,0,0,1,16,121,3421,6,53457,24
male,master,hiking,suburban,winter,1,1,0,207,29,1487,9,85654,53
non-binary,master,hiking,suburban,summer,0,0,1,131,164,988,4,55623,42
non-binary,high school,swimming,rural,summer,1,0,0,200,147,4820,0,52863,37
non-binary,high school,skiing,rural,spring,1,0,0,249,156,4837,2,68928,34
female,bachelor,sunbathing,urban,winter,0,0,0,17,131,1667,3,22550,53
male,doctorate,skiing,rural,fall,1,0,1,194,232,511,6,39281,43
female,bachelor,skiing,rural,fall,0,0,1,59,232,3277,3,116614,36
female,high school,skiing,urban,summer,0,0,1,74,150,2788,3,71285,54
female,bachelor,skiing,urban,fall,0,1,1,32,79,2644,7,47918,65
non-binary,bachelor,swimming,rural,winter,0,1,0,142,146,960,3,54024,20
male,doctorate,hiking,suburban,spring,1,0,0,283,249,4272,7,20918,60
female,bachelor,hiking,rural,winter,1,0,0,248,233,1552,9,23176,45
male,high school,swimming,urban,summer,1,1,0,142,192,1282,4,31748,39
male,master,swimming,suburban,summer,1,1,0,119,31,4691,0,44716,64
non-binary,doctorate,skiing,suburban,winter,0,1,1,127,221,728,4,84533,36
female,bachelor,swimming,rural,summer,1,0,0,35,86,3137,0,38412,63
non-binary,doctorate,swimming,rural,spring,0,1,0,108,250,3776,3,112508,33
male,master,swimming,suburban,spring,0,0,0,102,89,3588,1,47266,23
female,bachelor,skiing,urban,summer,1,0,1,170,299,1534,3,73266,54
male,high school,skiing,suburban,winter,1,1,0,137,36,2654,4,41739,48
male,master,sunbathing,suburban,spring,1,0,0,111,121,4074,8,114307,66
non-binary,high school,swimming,rural,spring,0,0,0,299,21,4910,3,48326,65
female,doctorate,skiing,suburban,spring,1,1,1,128,197,2432,1,20269,51
non-binary,high school,skiing,suburban,spring,1,0,0,195,68,1479,2,20667,48
non-binary,master,hiking,suburban,fall,1,1,0,256,128,1060,0,53182,28
male,high school,sunbathing,suburban,winter,1,1,0,109,174,982,8,82136,53
female,doctorate,skiing,urban,winter,1,0,0,295,136,692,2,87244,23
female,master,swimming,suburban,fall,1,0,0,147,174,3663,6,27282,44
